X,Y,id,Coordenad2,Coordenad1,Lugar,Capacidad
-103.431989,20.67830203,6886904,20.67830203,-103.431989,DOLCE NATURA,10
-103.428923,20.67394917,8979395,20.67394917,-103.428923,KAMARON,10
-103.4290899,20.67935442,1652806,20.67935442,-103.4290899,PALETAS MANHATTAN,10
-103.4357097,20.6797335,1652986,20.6797335,-103.4357097,LA PALETA,10
-103.4292623,20.67837412,1699511,20.67837412,-103.4292623,HAAGEN DAZS GALERIAS GUADALAJARA,50
-103.4335957,20.68170502,6342543,20.68170502,-103.4335957,MI BODEGA SAYULA  2059,150
-103.4309078,20.68069151,6343729,20.68069151,-103.4309078,SAM S LA ESTANCIA  6395,500
-103.4310157,20.68071385,6343728,20.68071385,-103.4310157,SUPERCENTER VALLARTA  2342,500
-103.4345517,20.68190418,6344738,20.68190418,-103.4345517,TIENDAS CHEDRAUI VALLARTA T108,500
-103.4372162,20.68064267,8979271,20.68064267,-103.4372162,ALMA DEL PAN,70
-103.43488,20.67975764,7230308,20.67975764,-103.43488,FRUTAS Y VERDURAS EL PUEBLITO,10
-103.4290031,20.68395073,7113427,20.68395073,-103.4290031,NON GUILTY,10
-103.4290031,20.68395073,7113491,20.68395073,-103.4290031,MIEL & CANELA,10
-103.4282791,20.68225619,1640137,20.68225619,-103.4282791,IMPORTADORA Y EXPORTADORA EL TIO SAM,10
-103.4292533,20.67841096,1699512,20.67841096,-103.4292533,BEST BUY,150
-103.4376428,20.68456078,1699297,20.68456078,-103.4376428,LAS MILY UNA ESPECIES,10
-103.4329581,20.68290023,1640142,20.68290023,-103.4329581,PANIFICADORA KAREY,30
-103.4346694,20.68143991,7113486,20.68143991,-103.4346694,VINOS Y LICORES LOSCOMPADRES,10
-103.4300851,20.67499619,6344902,20.67499619,-103.4300851,LA EUROPEA GUADALAJARA,50
-103.4359747,20.67918321,1699381,20.67918321,-103.4359747,DULCERÖA Y PLµSTICOS BETICOLIN,10
-103.4375853,20.6822045,6337211,20.6822045,-103.4375853,PRODUCTOS VERDE VALLE,1000
-103.4349562,20.67931112,1652970,20.67931112,-103.4349562,CARNICERIA LOS PRIMOS,10
-103.4342638,20.67758958,1652991,20.67758958,-103.4342638,CARNICERIA,10
-103.4291434,20.67913009,6420250,20.67913009,-103.4291434,COSTCO DE MEXICO SUCURSAL ZAPOPAN,1000
-103.4296908,20.67524365,6342216,20.67524365,-103.4296908,TIENDAS SORIANA GUADALAJARA SUC 132,500
-103.4324985,20.68413856,7113429,20.68413856,-103.4324985,CARNICERIA UNICA,10
-103.4358578,20.67902055,8606246,20.67902055,-103.4358578,CARNICERIA EL PECHA,10
-103.4380749,20.68291117,1640198,20.68291117,-103.4380749,CARNICERIA SIN NOMBRE,10
-103.4356431,20.6798438,1640170,20.6798438,-103.4356431,POLLERIA PATYS,10
-103.4296719,20.67668054,6339595,20.67668054,-103.4296719,ARNOLDI,10
-103.4355798,20.68091216,7230309,20.68091216,-103.4355798,DULCERIA OCHO BOMBONES,10
-103.4292533,20.67841096,1652880,20.67841096,-103.4292533,DULCERÖA CHILIM BALAM,10
-103.4358839,20.67889473,1652981,20.67889473,-103.4358839,DULCE RISA,10
-103.4366842,20.68018635,1640218,20.68018635,-103.4366842,PRODUCTOS DE LIMPIEZA,10
-103.437007,20.68450405,7113027,20.68450405,-103.437007,LA CASA DEL DETERGENTE,10
-103.4359918,20.67830251,1699396,20.67830251,-103.4359918,EZ CLEAN,10
-103.4214361,20.67918564,6881555,20.67918564,-103.4214361,ULTRAKLIN,10
-103.4372433,20.67842752,1652952,20.67842752,-103.4372433,LECHERIA LICONSA,10
-103.42974,20.67413617,6744223,20.67413617,-103.42974,LACTIN,10
-103.4377819,20.68448506,7920422,20.68448506,-103.4377819,CREMERIA ARANDAS,10
-103.4365153,20.68050639,7230304,20.68050639,-103.4365153,CREMERIA RUBEN,10
-103.4364033,20.67716789,1699465,20.67716789,-103.4364033,REAL DEL PUEBLITO,10
-103.4279598,20.68351029,6342760,20.68351029,-103.4279598,OXXO SUC 50NLI NOVELISTAS GDL,30
-103.4295266,20.67728137,6340352,20.67728137,-103.4295266,OXXO SUC 50ZBL GALERIAS GDL,30
-103.4279898,20.68340946,6337135,20.68340946,-103.4279898,OXXO SUC 50SKU CALANDRIAS GDL,30
-103.4357092,20.67973608,6337137,20.67973608,-103.4357092,OXXO SUC 50VJV STAMADELPUEBLITO GDL,30
-103.4330735,20.68291718,6337488,20.68291718,-103.4330735,OXXO SUC 50KLO LOMAS UNIVERSIDADGDL,30
-103.4358945,20.67884405,1699400,20.67884405,-103.4358945,MICKYS,10
-103.4302004,20.67337345,6233897,20.67337345,-103.4302004,7-ELEVEN SUC. 1157 BIZET Y SANZIO,30
